Keyword,Screen_Name,Text,Created_At_Year,Created_At_Month,Retweeted,Retweet_Count,Favorited,Favorite_Count
#LikeAGirl,sugamandy,|RT @Always: 76% of girls think female emojis shouldn't only be portrayed doing feminine activities. Watch &amp; share! #LikeAGirl
https://t.co/…|,2009,Feb,False,632,False,0
#LikeAGirl,ebranco31,|RT @Always: 76% of girls think female emojis shouldn't only be portrayed doing feminine activities. Watch &amp; share! #LikeAGirl
https://t.co/…|,2014,Jul,False,632,False,0
#LikeAGirl,KidsCoding,RT @ALiXDARC: Spent the day being inspired by young women planning their future... Wow you are amazing girls! #Ubisoft #LikeAGirl  https://…,2013,Mar,False,1,False,0
#LikeAGirl,JennaAtBlackSky,|RT @Always: 76% of girls think female emojis shouldn't only be portrayed doing feminine activities. Watch &amp; share! #LikeAGirl
https://t.co/…|,2009,Mar,False,632,False,0
#LikeAGirl,TheGoodBreast,RT @elizabethkarr: @TheGoodBreast @lucywalkerfilm @bernaweg Truth! Long been frustrated for lack of &amp; lame #emoji for #women #girls. 💓 your…,2014,Jan,False,1,False,0
#LikeAGirl,amxandaclxrk,|RT @Always: 76% of girls think female emojis shouldn't only be portrayed doing feminine activities. Watch &amp; share! #LikeAGirl
https://t.co/…|,2013,Aug,False,632,False,0
#LikeAGirl,ElizabethStGrdn,#Play #LikeaGirl @ElizabethStGrdn as #Spring arrives. #UnstructuredPlay @NYCCGC @NYCParks @tpl_org @GreenBelow14 https://t.co/AjA1GHqtyH,2013,Aug,False,0,False,0
#LikeAGirl,racegood38,|Let's make emojis as unstoppable as girls. What girl emoji do you want to see? #LikeAGirl
https://t.co/8SrcawaDQv|,2014,Jul,False,0,False,0
#LikeAGirl,paytonswimmm,|RT @Always: Girls send over a BILLION emojis every day. 👸💄👰. But do these emojis represent them? Watch &amp; share: #LIKEAGIRL
https://t.co/cH1…|,2014,Apr,False,1230,False,0
#LikeAGirl,Selfieblah,|RT @Always: 76% of girls think female emojis shouldn't only be portrayed doing feminine activities. Watch &amp; share! #LikeAGirl
https://t.co/…|,2014,Jun,False,632,False,0
#LikeAGirl,La_tina527,|RT @Always: .@FLOTUS Great idea, girls can be anything! Let's do this! #LetGirlsLearn #LikeAGirl https://t.co/ZQQqlYbMx0|,2015,Sep,False,3867,False,0
#LikeAGirl,HAbrauer,RT @usagoaltimate: We are super stoked about this women's team from ATL at CGC!  #genderequity #likeagirl #flexeveryday https://t.co/uhEM62…,2009,Apr,False,3,False,0
#LikeAGirl,TimCNicholson,|Hey @SouthwestAir, great crew aboard FL4305. #LikeAGirl #leadership #service https://t.co/mqQrnP4CJm|,2009,Feb,False,0,False,0
#LikeAGirl,saubert_jillian,RT @EmWatson: My friend @lucywalkerfilm directed this: https://t.co/u7R5sAbD73 and it's bloody brilliant. Watch watch watch  #likeagirl #IW…,2014,Aug,False,1010,False,0
#LikeAGirl,AEAbrams,Being a bride is not a profession...Always #LikeAGirl - Girl Emojis https://t.co/OMxvMogXMj,2013,Jan,False,0,False,0
#LikeAGirl,guevaraksty,|RT @AlysiaMontano: "Papa! ... I just need to go running" 
 #LikeMotherLikeDaughter #LikeAGirl https://t.co/WNV0nkXx5m https://t.co/MJ0VrCEn…|,2011,Nov,False,4,False,0
#LikeAGirl,jcsgc1,I Sell #LikeAGirl—and I'm Proud of It! https://t.co/S9cjkAjBD5,2008,Sep,False,0,False,0
#LikeAGirl,AlyssaP517,|A historic day for women's sports, a historic day for hockey. #NWHL #IsobelCupFinals #LikeAGirl|,2009,Apr,False,0,False,2
#LikeAGirl,Ilamiri,|RT @Always: 76% of girls think female emojis shouldn't only be portrayed doing feminine activities. Watch &amp; share! #LikeAGirl
https://t.co/…|,2011,Aug,False,632,False,0
#LikeAGirl,jasmine_gunz,@NatbyNature I think you did fabulous and deserve to be divas champ #IWillAgain #LIKEAGIRL  https://t.co/HlfFMINGuo,2016,Jan,False,0,False,0
#LikeAGirl,basicbravo,|RT @Always: Girls send over a BILLION emojis every day. 👸💄👰. But do these emojis represent them? Watch &amp; share: #LIKEAGIRL
https://t.co/cH1…|,2013,Sep,False,1230,False,0
#LikeAGirl,Sirlagsalot666,I liked a @YouTube video https://t.co/2KsvChUlog Re:#LikeAGirl,2014,Oct,False,0,False,0
#LikeAGirl,GIRLTALKEmpower,|When more women work, economies grow more quickly! #girlpower #girlswhochangetheworld #UNwomen #LikeAGirl|,2013,Dec,False,0,False,1
#LikeAGirl,jdill93,|RT @Always: 76% of girls think female emojis shouldn't only be portrayed doing feminine activities. Watch &amp; share! #LikeAGirl
https://t.co/…|,2011,Aug,False,632,False,0
#LikeAGirl,jshemlee,|RT @Always: 76% of girls think female emojis shouldn't only be portrayed doing feminine activities. Watch &amp; share! #LikeAGirl
https://t.co/…|,2009,Nov,False,632,False,0
#LikeAGirl,tisaynavalle,What about a girl Nazi emoji to represent how much like the Nazi party feminist are? #LikeAGirl,2012,Jul,False,0,False,0
#LikeAGirl,BestofCyndi,Recruiting #youtubesubscribers #foodies #Subscribe to my channel #sub4sub #LikeAGirl New #Video this Friday,2014,Sep,False,0,False,0
#LikeAGirl,oopsiwentglam1,Let's make emojis as unstoppable as girls. What girl emoji do you want to see? #LikeAGirl https://t.co/DGEzJhlVgB,2010,Jul,False,0,False,0
#LikeAGirl,Blessed_Babbby,|RT @Always: 76% of girls think female emojis shouldn't only be portrayed doing feminine activities. Watch &amp; share! #LikeAGirl
https://t.co/…|,2015,Apr,False,632,False,0
#LikeAGirl,amy_kathryn_xo,Emojis have more skin pigments now but are still stereotyped-smileys for girls :( #LikeAGirl #emoji #empoweringwomen https://t.co/ZV8MoxHTWe,2011,Aug,False,0,False,0
#LikeAGirl,miilauuh,|RT @Always: 76% of girls think female emojis shouldn't only be portrayed doing feminine activities. Watch &amp; share! #LikeAGirl
https://t.co/…|,2015,Jan,False,632,False,0
#LikeAGirl,gabycruz12,|RT @Always: Girls send over a BILLION emojis every day. 👸💄👰. But do these emojis represent them? Watch &amp; share: #LIKEAGIRL
https://t.co/cH1…|,2012,Jan,False,1230,False,0
#LikeAGirl,aelizabethclark,|RT @Always: Girls send over a BILLION emojis every day. 👸💄👰. But do these emojis represent them? Watch &amp; share: #LIKEAGIRL
https://t.co/cH1…|,2009,Jul,False,1230,False,0
#LikeAGirl,Minixoxox1,|RT @Always: 76% of girls think female emojis shouldn't only be portrayed doing feminine activities. Watch &amp; share! #LikeAGirl
https://t.co/…|,2013,May,False,632,False,0
#LikeAGirl,mydarling_amy,|RT @Always: 76% of girls think female emojis shouldn't only be portrayed doing feminine activities. Watch &amp; share! #LikeAGirl
https://t.co/…|,2013,Sep,False,632,False,0
#LikeAGirl,isbel,|How the new #likeagirl campaign proves emojis are...well, emotional. https://t.co/qrQLZLj5Gt|,2012,Jan,False,0,False,0
#LikeAGirl,SalesGrowthInc,|RT @jillkonrath: The minute I heard this Always #LikeAGirl ad during the Super Bowl, I knew I had to write today's post. https://t.co/0biWr…|,2010,Oct,False,2,False,0
#LikeAGirl,Griffopolis,RT @AdrianaMLopezF: Saturday afternoon: spend time with your 4 year old daughter naming #colors #designthinking #LikeAGirl https://t.co/M7Q…,2011,Jan,False,2,False,0
#LikeAGirl,BestofCyndi,For more on these #gourmet #cookies #Subscribe to my #Youtube channel #RetweeetPlease #LikeAGirl https://t.co/waf6pyr8i6,2014,Sep,False,0,False,0
#LikeAGirl,jillkonrath,|The minute I heard this Always #LikeAGirl ad during the Super Bowl, I knew I had to write today's post. https://t.co/0biWrMUMAX|,2008,Apr,False,2,False,0
#LikeAGirl,erikamcox,Speckled trout! Nice size too! She reeled it in ALL by herself. #LikeAGirl https://t.co/bjiRKOe28E,2011,Oct,False,0,False,0
#LikeAGirl,designthinkbot,RT @AdrianaMLopezF: Saturday afternoon: spend time with your 4 year old daughter naming #colors #designthinking #LikeAGirl https://t.co/M7Q…,2015,Aug,False,2,False,0
#LikeAGirl,KCSorrelli,|RANKED: The 30 most creative women in advertising
https://t.co/PPzyxuZggr #likeagirl #nofomo #killingthegendergap|,2009,Apr,False,0,False,1
#LikeAGirl,bxcellent2eo,"This is awesome chants" for @NatbyNature and @MsCharlotteWWE. Wrestle #LikeAGirl #WWERoadBlock,2010,Mar,False,0,False,0
#LikeAGirl,EmojiSwaggin,RT @TohmeRita: New #LikeAGirl commercials fight for empowering girl emoji https://t.co/tKUa8rMxTE via @mashable,2015,Dec,False,1,False,0
#LikeAGirl,Mustangsallyr,Well done @Always for asking this!!! Where are the girls???? #LikeAGirl  https://t.co/lF0zTMZHMO,2010,May,False,0,False,0
#LikeAGirl,KcFiveO,|RT @GridironBeautie: Get On Board Join the #nojokefootball project #likeagirl #thisgirlcan 
Sport Your Favorites Get yours at our... https:…|,2015,Mar,False,1,False,0
#LikeAGirl,rfamovie,It's a pet peeve of EK so few #emoji for girls. She loves #LikeAGirl video by @lucywalkerfilm. We like it too 💪🏼💡 https://t.co/ZN2tSKJ7ci,2010,Apr,False,0,False,1
#LikeAGirl,AdrianaMLopezF,Saturday afternoon: spend time with your 4 year old daughter naming #colors #designthinking #LikeAGirl https://t.co/M7QL3CzdyK,2014,Mar,False,2,False,3
#LikeAGirl,TheRoomIs0nFire,|RT @Always: 76% of girls think female emojis shouldn't only be portrayed doing feminine activities. Watch &amp; share! #LikeAGirl
https://t.co/…|,2014,Apr,False,632,False,0
#LikeAGirl,autumnfading,Because he keeps calling @Krusher_NWHL him! SHE'S A GIRL-SEE THE BOW? My $'s on @Krusher_NWHL. #LikeAGirl #GoBeauts https://t.co/IZZPtg627s,2010,Sep,False,0,False,1
#LikeAGirl,Supernatrual7,|RT @Always: Girls can do amazing things #LikeAGirl – let’s make emojis as unstoppable as girls! Watch &amp; share.
https://t.co/x8GtxWHTMc|,2015,May,False,32,False,0
#LikeAGirl,megdowdy,|RT @Always: Girls send over a BILLION emojis every day. 👸💄👰. But do these emojis represent them? Watch &amp; share: #LIKEAGIRL
https://t.co/cH1…|,2009,May,False,1230,False,0
#LikeAGirl,alex_kgray,RT @rickyblack52: @Always your ad gave me AIDS #LikeAGirl,2014,Mar,False,1,False,0
#LikeAGirl,rickyblack52,@Always your ad gave me AIDS #LikeAGirl,2010,Apr,False,1,False,1
#LikeAGirl,Profpatrice,RT @EmWatson: My friend @lucywalkerfilm directed this: https://t.co/u7R5sAbD73 and it's bloody brilliant. Watch watch watch  #likeagirl #IW…,2010,Feb,False,1010,False,0
#LikeAGirl,Profpatrice,RT @herdaily: #LikeAGirl Takes on Girl-Excluding Emojis - Her Daily https://t.co/P99vJzy0E5 via @herdaily,2010,Feb,False,27,False,0
#LikeAGirl,LovelyMacarena,|RT @Always: 76% of girls think female emojis shouldn't only be portrayed doing feminine activities. Watch &amp; share! #LikeAGirl
https://t.co/…|,2012,May,False,632,False,0
#LikeAGirl,sgibri,Swing like a girl🏌💁🏻 #golf #golfprep #tournament #practiceround #gbswinglikeagirl #likeagirl… https://t.co/GEjIR9c1ae,2009,Oct,False,0,False,0
#LikeAGirl,serpyrmuen,Mhya - Girl Astronaut #LikeAGirl,2016,Jan,False,0,False,0
#LikeAGirl,AzizeGoggans,|RT @Always: Girls send over a BILLION emojis every day. 👸💄👰. But do these emojis represent them? Watch &amp; share: #LIKEAGIRL
https://t.co/cH1…|,2012,Jul,False,1230,False,0
#LikeAGirl,ninnetimes,Let's make emojis as unstoppable as girls. What girl emoji do you want to see? #LikeAGirl https://t.co/Uex3KwOmCC,2011,May,False,0,False,0
#LikeAGirl,londonBRIDGEt12,|RT @Always: We like emojis a lot, but do they represent girls? Watch and find out! #LikeAGirl
https://t.co/a5uvNrIapW|,2014,Nov,False,434,False,0
#LikeAGirl,SayfulinaMarina,Love @Always #LikeAGirl #GirlEmojis ad for supporting equality &amp; boosting girls confidence. I'd like a girl martial artist Emoji.,2016,Jan,False,0,False,0
#LikeAGirl,EmojiSwaggin,|RT @skuddsy: Forget the haircut emoji. How about a female runner, or motorcycle rider, or business woman? #LikeAGirl https://t.co/l6GFwtIb8z|,2015,Dec,False,7,False,0
#LikeAGirl,pipkat70,|RT @Always: 76% of girls think female emojis shouldn't only be portrayed doing feminine activities. Watch &amp; share! #LikeAGirl
https://t.co/…|,2014,Dec,False,632,False,0
#LikeAGirl,NicolePetroff1,#LikeAGirl IS NOT A DISS  ... I ____ like a girl because I am one!!!!,2012,Feb,False,0,False,0
#LikeAGirl,EmojiSwaggin,RT @JulieSalesses: 💪💪💪 Let’s make emojis as unstoppable as girls! I want to see a girl emoji! #LikeAGirl What about you? https://t.co/3j07E…,2015,Dec,False,4,False,0
