Keyword,Screen_Name,Text,Created_At_Year,Created_At_Month,Retweeted,Retweet_Count,Favorited,Favorite_Count
#ILookLikeAnEngineer,WYBFoundation,RT @Ruby_B_Johnson: Happy International Women's Day! #IWD2016 #WomensDay #WomensMonth #Planet5050 #ILookLikeAnEngineer #empoweredwoman http…,2010,Nov,False,2,False,0
#ILookLikeAnEngineer,Ruby_B_Johnson,Happy International Women's Day! #IWD2016 #WomensDay #WomensMonth #Planet5050 #ILookLikeAnEngineer #empoweredwoman https://t.co/Q6YCvZMnRs,2012,Jul,False,2,False,5
#ILookLikeAnEngineer,heisermatt,|RT @WITadmissions: Our #WITSpiration this week is Hayley, learn about her co-op at ZOLL. #InternationalWomensDay #ILookLikeAnEngineer https…|,2011,Nov,False,3,False,0
#ILookLikeAnEngineer,Lolo1Lorie,RT @Tonita_louise: Rare chance to join @FlingTheWorld. HIRING a LEAD #iosdev #girlswhocode #womenintech #ILookLikeAnEngineer Msg 4 info htt…,2013,Nov,False,1,False,0
#ILookLikeAnEngineer,womeninsurgery,|RT @RenataBeamanPT: My, how far we have come! And further to go still..... #ILookLikeASurgeon #ilooklikeaprofessor #ILookLikeAnEngineer  ht…|,2012,Nov,False,4,False,0
#ILookLikeAnEngineer,Axcient,Happy #InternationalWomensDay! What #ILookLikeAnEngineer Really Means :} @hellofrommandyy,2009,Jul,False,0,False,2
#ILookLikeAnEngineer,mstandage,RT @OxfordCC: Happy International Women’s Day! #ILookLikeAnEngineer #STEM #womenintech #InternationalWomensDay https://t.co/B4VTMhnXpK,2009,Feb,False,2,False,0
#ILookLikeAnEngineer,HandbagDivas,Happy #InternationalWomensDay! #IWD2016 #WeForWe #WomenInTech #friendsforever #HandbagDivasLove #ILookLikeAnEngineer https://t.co/UmA2u5iGob,2011,Jul,False,0,False,1
#ILookLikeAnEngineer,TAG_Education,|For #InternationalWomensDay, we want to celebrate all the #STEM women in Georgia &amp; beyond. #womenintech #ilooklikeanengineer|,2011,Jun,False,0,False,1
#ILookLikeAnEngineer,jdkshepard,Started from the bottom now I'm here 2yr alum #rooftop #IAmAmeriCorps #ILookLikeAnEngineer #nonprofitengineer https://t.co/jYNEHILCYA,2009,Feb,False,0,False,0
#ILookLikeAnEngineer,MarianaMota,RT @OxfordCC: Happy International Women’s Day! #ILookLikeAnEngineer #STEM #womenintech #InternationalWomensDay https://t.co/B4VTMhnXpK,2008,Feb,False,2,False,0
#ILookLikeAnEngineer,JeffFrick,RT @mwieck: #ILookLikeAnEngineer I'm proud to be an engineer who codes. @IBMWebSphere @IBMWildDucks #IBM #GHC15 http://t.co/zxL6UBHd4U,2009,Jan,False,18,False,0
#ILookLikeAnEngineer,CapterraIT,Do mathematicians see undergrad algebra as trivial? Maybe. https://t.co/fu9bpcQ4ut #math #tech #ILookLikeAnEngineer,2015,Nov,False,0,False,0
#ILookLikeAnEngineer,MJamesRussell,It's International Women's Day!Remember the 1st computer programmer was a woman. #STEMWomen #ILookLikeAnEngineer https://t.co/UYK1dxsw4O,2012,May,False,0,False,2
#ILookLikeAnEngineer,WITadmissions,|Our #WITSpiration this week is Hayley, learn about her co-op at ZOLL. #InternationalWomensDay #ILookLikeAnEngineer https://t.co/ooTa2osoBj|,2009,Apr,False,3,False,5
#ILookLikeAnEngineer,suniyello3,RT @HandbagDivas: Happy #InternationalWomensDay!#IWD16 #WeForWe #ILookLikeAnEngineer #WomensDay #WomenInTech #DCTech #HandbagDivasLove http…,2015,Nov,False,1,False,0
#ILookLikeAnEngineer,nicknull,RT @Silverstrange: This intersects so many of my interests: #womenscycling #WomenInSTEM #ILookLikeAnEngineer #IWD2016  https://t.co/ge20OGK…,2008,Dec,False,1,False,0
#ILookLikeAnEngineer,FortBoards,#internationalwomensday Thank orgs like @aauw for addressing #STEM ed discrepency #stemgirls #ilooklikeanengineer https://t.co/o5cnYOHYJq,2014,Jan,False,1,False,1
#ILookLikeAnEngineer,vGazza,|@SolutionGeek awesome picture! 

#ILookLikeAnEngineer 
#WomenInTech
#IWD|,2011,May,False,0,False,1
#ILookLikeAnEngineer,FranziskaSeeger,@reshmasaujani @GirlsWhoCode Be brave! It's ok to be imperfect! #growthmindset #womeninscience #ILookLikeAnEngineer #InternationalWomenDay,2014,Jun,False,0,False,1
#ILookLikeAnEngineer,GNG1065,|RT @HealthcareWen: Check out #ILookLikeASurgeon photos of #women in surgery.
(Some are also #ILookLikeAnEngineer!)
cc @DisruptiveWomen http…|,2015,Jan,False,70,False,0
#ILookLikeAnEngineer,clientcarecube,RT @kholtzblatt: #InternationalWomensDay Celebrate tech women #WomenInSTEM #ILookLikeAnEngineer With Women in Tech Proj &amp; survey! https://t…,2015,May,False,1,False,0
#ILookLikeAnEngineer,GioRinaldi_MD,|RT @HealthcareWen: Check out #ILookLikeASurgeon photos of #women in surgery.
(Some are also #ILookLikeAnEngineer!)
cc @DisruptiveWomen http…|,2014,Mar,False,70,False,0
#ILookLikeAnEngineer,kholtzblatt,#InternationalWomensDay Celebrate tech women #WomenInSTEM #ILookLikeAnEngineer With Women in Tech Proj &amp; survey! https://t.co/m5Hc86tRM8,2011,Feb,False,1,False,1
#ILookLikeAnEngineer,dycet,|RT @AstroJon: Come on, world- we can do better. For women in tech, it's been a so-so year https://t.co/ImbPXuZw1d via @CNET #ILookLikeAnEng…|,2012,May,False,1,False,0
#ILookLikeAnEngineer,AstroJon,|Come on, world- we can do better. For women in tech, it's been a so-so year https://t.co/ImbPXuZw1d via @CNET #ILookLikeAnEngineer #HeForShe|,2009,Jun,False,1,False,2
#ILookLikeAnEngineer,videya_gaymen,Practically all of the engineers that I've met dress and look like dorks. Function &gt; Fashion #ILookLikeAnEngineer,2014,Dec,False,0,False,0
#ILookLikeAnEngineer,HandbagDivas,Happy #InternationalWomensDay!#IWD16 #WeForWe #ILookLikeAnEngineer #WomensDay #WomenInTech #DCTech #HandbagDivasLove https://t.co/Tft3mLBtUg,2011,Jul,False,1,False,3
#ILookLikeAnEngineer,PandatheBaker,|Today at #WMS2016, I ran into my CWRU undergrad advisor in environmental engineering #WMS2016 #InternationalWomensDay #ILookLikeAnEngineer|,2011,Apr,False,0,False,2
#ILookLikeAnEngineer,LisaLamagna,|RT @HealthcareWen: Check out #ILookLikeASurgeon photos of #women in surgery.
(Some are also #ILookLikeAnEngineer!)
cc @DisruptiveWomen http…|,2009,Feb,False,70,False,0
#ILookLikeAnEngineer,RandallArlett,|RT @HealthcareWen: Check out #ILookLikeASurgeon photos of #women in surgery.
(Some are also #ILookLikeAnEngineer!)
cc @DisruptiveWomen http…|,2013,Jan,False,70,False,0
#ILookLikeAnEngineer,Silverstrange,This intersects so many of my interests: #womenscycling #WomenInSTEM #ILookLikeAnEngineer #IWD2016  https://t.co/ge20OGKIix,2009,Jul,False,1,False,3
#ILookLikeAnEngineer,Mike_K_Spencer,The Top 15 Cities for #womenintech in the USA. https://t.co/iQVykYqt1C  #startup #entrepreneur #ILookLikeanEngineer https://t.co/KWRn2Oh6L8,2014,Nov,False,0,False,1
#ILookLikeAnEngineer,OxfordCC,Happy International Women’s Day! #ILookLikeAnEngineer #STEM #womenintech #InternationalWomensDay https://t.co/B4VTMhnXpK,2009,Mar,False,2,False,5
#ILookLikeAnEngineer,nilimads,RT @alan1marshall: #HeForShe to #ILookLikeAnEngineer: hashtag activism to change the world on #IWD2016 @snappa https://t.co/VQ83Wnzk91 http…,2009,Nov,False,2,False,0
#ILookLikeAnEngineer,snappa,RT @alan1marshall: #HeForShe to #ILookLikeAnEngineer: hashtag activism to change the world on #IWD2016 @snappa https://t.co/VQ83Wnzk91 http…,2014,Jun,False,2,False,0
#ILookLikeAnEngineer,g_collinson,@STEMLearningUK Fantastic Enterprising Women's Event at Leeds today #ilooklikeanengineer to mark IWD #internationalwomensday.,2014,Aug,False,0,False,0
#ILookLikeAnEngineer,neeks187,Happy International Women's Day #ilooklikeanengineer #iamanengineer… https://t.co/tijC5Ei8Gd,2012,Aug,False,0,False,0
#ILookLikeAnEngineer,dr_jaja,|RT @HealthcareWen: Check out #ILookLikeASurgeon photos of #women in surgery.
(Some are also #ILookLikeAnEngineer!)
cc @DisruptiveWomen http…|,2009,Nov,False,70,False,0
#ILookLikeAnEngineer,Liz_ORiordan,|RT @HealthcareWen: Check out #ILookLikeASurgeon photos of #women in surgery.
(Some are also #ILookLikeAnEngineer!)
cc @DisruptiveWomen http…|,2009,Feb,False,70,False,0
#ILookLikeAnEngineer,melbuendia,Changing our world through languages and edtech #ILookLikeAnEngineer #WomenInternationalDay https://t.co/2cHx8wAZ2z,2009,Apr,False,0,False,1
#ILookLikeAnEngineer,TraceWall,RT @Bigcommerce: Happy #InternationalWomensDay from the @BigEng team! #WomenWhoTech #ILookLikeAnEngineer #BigEng https://t.co/VoLUVH2Cqd,2010,Aug,False,8,False,0
#ILookLikeAnEngineer,melbuendia,|RT @CMU_ECE: This is a great list of the 26 most powerful females #engineers in 2016, via @businessinsider. https://t.co/cTlYlx9NL1 #ILookL…|,2009,Apr,False,6,False,0
#ILookLikeAnEngineer,krisgiamello,RT @kholtzblatt: Help with the Women in Tech project! https://t.co/8YdJGZeKhc Do the survey! https://t.co/WF4d3dpuwO Pass it on! #ILookLike…,2008,Nov,False,5,False,0
#ILookLikeAnEngineer,EricGaffen,RT @siliconrepublic: Asavie software engineer: glimpse the life of a coding kraken https://t.co/rimfwiVzfO @Asavie #ilooklikeanengineer,2013,Jan,False,2,False,0
#ILookLikeAnEngineer,BigEng,RT @Bigcommerce: Happy #InternationalWomensDay from the @BigEng team! #WomenWhoTech #ILookLikeAnEngineer #BigEng https://t.co/VoLUVH2Cqd,2015,Feb,False,8,False,0
#ILookLikeAnEngineer,julsfoucher1966,RT @Bigcommerce: Happy #InternationalWomensDay from the @BigEng team! #WomenWhoTech #ILookLikeAnEngineer #BigEng https://t.co/VoLUVH2Cqd,2013,Oct,False,8,False,0
#ILookLikeAnEngineer,mrp,RT @Bigcommerce: Happy #InternationalWomensDay from the @BigEng team! #WomenWhoTech #ILookLikeAnEngineer #BigEng https://t.co/VoLUVH2Cqd,2010,Feb,False,8,False,0
#ILookLikeAnEngineer,bigcretweet,RT @Bigcommerce: Happy #InternationalWomensDay from the @BigEng team! #WomenWhoTech #ILookLikeAnEngineer #BigEng https://t.co/VoLUVH2Cqd,2015,Aug,False,8,False,0
#ILookLikeAnEngineer,compusubha,RT @Bigcommerce: Happy #InternationalWomensDay from the @BigEng team! #WomenWhoTech #ILookLikeAnEngineer #BigEng https://t.co/VoLUVH2Cqd,2009,Oct,False,8,False,0
#ILookLikeAnEngineer,Bigcommerce,Happy #InternationalWomensDay from the @BigEng team! #WomenWhoTech #ILookLikeAnEngineer #BigEng https://t.co/VoLUVH2Cqd,2009,May,False,8,False,9
#ILookLikeAnEngineer,siliconrepublic,Asavie software engineer: glimpse the life of a coding kraken https://t.co/rimfwiVzfO @Asavie #ilooklikeanengineer,2008,Apr,False,2,False,3
#ILookLikeAnEngineer,st_parkin,My blog for #InternationalwomensDay -- not 2 Pretty to be an Engineer https://t.co/8vwMtT62S2 #ILookLikeAnEngineer @WITWomen @GirlsinTech,2009,Apr,False,2,False,0
#ILookLikeAnEngineer,Nasimiadis,RT @bdumeli: Soaking up the #womanintech energy at #WITsthlm2016 #motivation #ILookLikeAnEngineer https://t.co/WwomoAq5Dk,2010,Feb,False,3,False,0
#ILookLikeAnEngineer,JulieRondeau52,@isisAnchalee my company posted a video on DaaS with me. Love it! Women in tech hear us roar! #ILookLikeAnEngineer,2015,May,False,0,False,1
#ILookLikeAnEngineer,JulieRondeau52,#ILookLikeAnEngineer It's me! I love my job and have a lot of fun! I think you can really see my passion! Women rule https://t.co/iGxjimLnuY,2015,May,False,0,False,1
#ILookLikeAnEngineer,WITsthlm,RT @bdumeli: Soaking up the #womanintech energy at #WITsthlm2016 #motivation #ILookLikeAnEngineer https://t.co/WwomoAq5Dk,2016,Feb,False,3,False,0
#ILookLikeAnEngineer,Femtechse,RT @bdumeli: Soaking up the #womanintech energy at #WITsthlm2016 #motivation #ILookLikeAnEngineer https://t.co/WwomoAq5Dk,2015,Oct,False,3,False,0
#ILookLikeAnEngineer,bdumeli,Soaking up the #womanintech energy at #WITsthlm2016 #motivation #ILookLikeAnEngineer https://t.co/WwomoAq5Dk,2014,Feb,False,3,False,4
#ILookLikeAnEngineer,OxfordCC,Happy International Women’s Day! #ILookLikeAnEngineer #STEM #womenintech #InternationalWomensDay https://t.co/Qd74srICZA,2009,Mar,False,0,False,7
#ILookLikeAnEngineer,fawnsun,|RT @HealthcareWen: Check out #ILookLikeASurgeon photos of #women in surgery.
(Some are also #ILookLikeAnEngineer!)
cc @DisruptiveWomen http…|,2014,Sep,False,70,False,0
#ILookLikeAnEngineer,TriadMagnetics,In honor of #InternationalWomensDay: https://t.co/QirKdfVntS #womeninengineering #ILookLikeAnEngineer https://t.co/2WwRJNMroi,2013,Jul,False,0,False,0
#ILookLikeAnEngineer,nkalavak,#OneDayIWill be the #Roboticist my country needs. #SurgicalRobotics #InternationalWomensDay #ILookLikeAnEngineer #India,2013,Sep,False,0,False,0
#ILookLikeAnEngineer,andrewwynn2468,RT @FlingTheWorld: Break the sterotype #girlswhocode #girlsintech #ILookLikeAnEngineer. We're hiring a Lead #iosdev Msg @Tonita_louise http…,2013,Nov,False,5,False,0
#ILookLikeAnEngineer,Tonita_louise,Rare chance to join @FlingTheWorld. HIRING a LEAD #iosdev #girlswhocode #womenintech #ILookLikeAnEngineer Msg 4 info https://t.co/OiFlO1wW43,2014,Mar,False,1,False,3
#ILookLikeAnEngineer,lauraisaza29,RT @FlingTheWorld: Break the sterotype #girlswhocode #girlsintech #ILookLikeAnEngineer. We're hiring a Lead #iosdev Msg @Tonita_louise http…,2014,Nov,False,5,False,0
#ILookLikeAnEngineer,AndreBarbosa88,RT @FlingTheWorld: Break the sterotype #girlswhocode #girlsintech #ILookLikeAnEngineer. We're hiring a Lead #iosdev Msg @Tonita_louise http…,2011,Oct,False,5,False,0
#ILookLikeAnEngineer,FlingTheWorld,Break the sterotype #girlswhocode #girlsintech #ILookLikeAnEngineer. We're hiring a Lead #iosdev Msg @Tonita_louise https://t.co/803RxoUt0t,2014,Jul,False,5,False,11
#ILookLikeAnEngineer,ilooklikeaCE,Thank you Isis Anchalee for your contribution! @isisAnchalee @indiegogo #ILookLikeAnEngineer #ilooklikeace https://t.co/5Yt4XbZXXf,2015,Aug,False,2,False,3
#ILookLikeAnEngineer,WomanthologyUK,RT @BabaFaridGroup: Celebrating female heroines 2 help us redefine #engineering for women https://t.co/iPWgeNGbsE  #ILookLikeAnEngineer #In…,2013,Jul,False,1,False,0
#ILookLikeAnEngineer,EngIrlDonegal,|On #IWD2016, we need to #PledgeForParity, particularly in male dominated Engineering fields #ILookLikeAnEngineer https://t.co/zBqsJTHqdz|,2015,Feb,False,0,False,0
#ILookLikeAnEngineer,electricalbelle,|I am often told that I don't look like an electrician!
#ILookLikeAnEngineer #IWD2016 @JFTG_NICEIC  https://t.co/9KRq95LquH|,2016,Jan,False,0,False,1
#ILookLikeAnEngineer,RenataBeamanPT,|My, how far we have come! And further to go still..... #ILookLikeASurgeon #ilooklikeaprofessor #ILookLikeAnEngineer  https://t.co/MWEOC5GSUj|,2014,Feb,False,4,False,3
#ILookLikeAnEngineer,alan1marshall,#HeForShe to #ILookLikeAnEngineer: hashtag activism to change the world on #IWD2016 @snappa https://t.co/VQ83Wnzk91 https://t.co/N1ACFJEXbZ,2011,Feb,False,2,False,0
#ILookLikeAnEngineer,Workstream1,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2011,Sep,False,86,False,0
#ILookLikeAnEngineer,katemacguin,RT @InspirefestHQ: .@MichelleDCullen notes the powerful &amp; positive impact #ilooklikeanengineer has on challenging stereotypes #iwdccd @isis…,2015,Mar,False,5,False,0
#ILookLikeAnEngineer,Helena_Goss,RT @InspirefestHQ: .@MichelleDCullen notes the powerful &amp; positive impact #ilooklikeanengineer has on challenging stereotypes #iwdccd @isis…,2013,Feb,False,5,False,0
#ILookLikeAnEngineer,InspirefestHQ,.@MichelleDCullen notes the powerful &amp; positive impact #ilooklikeanengineer has on challenging stereotypes #iwdccd @isisAnchalee,2015,Apr,False,5,False,6
#ILookLikeAnEngineer,EqualBITE,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2015,Nov,False,86,False,0
#ILookLikeAnEngineer,BabaFaridGroup,Celebrating female heroines 2 help us redefine #engineering for women https://t.co/iPWgeNGbsE  #ILookLikeAnEngineer #InternationalWomensDay,2011,Apr,False,1,False,2
#ILookLikeAnEngineer,Mike_K_Spencer,|Women in Tech #Reloaded
#millennials #womenintech #siliconvalley #genderequity @LinkedInPulse  #ILookLikeAnEngineer https://t.co/Q9GQ0WrmAb|,2014,Nov,False,0,False,0
#ILookLikeAnEngineer,WelaPMsimanga,|RT @HealthcareWen: Check out #ILookLikeASurgeon photos of #women in surgery.
(Some are also #ILookLikeAnEngineer!)
cc @DisruptiveWomen http…|,2013,Jun,False,70,False,0
#ILookLikeAnEngineer,afwab,RT @Anncairns4: Great to meet a fellow engineer launching MasterPass in Store #ILookLikeAnEngineer @natmoisture @MasterCardMEA https://t.co…,2016,Jan,False,18,False,0
#ILookLikeAnEngineer,ADodgshon,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2011,Jan,False,86,False,0
#ILookLikeAnEngineer,skullsick,RT @Mike_K_Spencer: Women in Tech Reloaded #womenintech #ILookLikeAnEngineer #GirlCoders #siliconvalley #startup #entrepreneur #SaaS https:…,2009,Jul,False,1,False,0
#ILookLikeAnEngineer,Omshadiddle,|RT @TMRQld: What advice would Chief Engineer Julie Mitchell give her younger self? #ILookLikeAnEngineer #IWD2016 
https://t.co/rrKrLP0Lzn|,2010,Aug,False,1,False,0
#ILookLikeAnEngineer,CornellTownGown,|RT @CornellEng: So, what does an engineer look like? #ILookLikeAnEngineer https://t.co/0at0sVNZyF|,2015,Apr,False,9,False,0
#ILookLikeAnEngineer,Vince_Campisi,|Teach girls bravery, not perfection https://t.co/Rj1JjDIV1n #girlswhocode #ILookLikeAnEngineer|,2012,Jun,False,0,False,5
#ILookLikeAnEngineer,DrKathyHughes,@Mark_Kido @GenderAvenger Because Tech is #womenswork #ILookLikeAnEngineer #IWD2016,2012,Oct,False,0,False,1
#ILookLikeAnEngineer,red10meg,@fabigail_joy @anjela_arora when I walk by them I think about rebar thanks to my 132 prof #ILookLikeAnEngineer,2012,Apr,False,0,False,3
#ILookLikeAnEngineer,Zumbudda,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2014,Jun,False,86,False,0
#ILookLikeAnEngineer,Discover_Con,RT @TheSpaceGal: Engineering degrees from @MIT #ILookLikeAnEngineer (read: https://t.co/tZpuMu5fwT) http://t.co/kKNEQqd5kq,2015,Apr,False,269,False,0
#ILookLikeAnEngineer,SenecaWIT,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2014,Oct,False,86,False,0
#ILookLikeAnEngineer,ITCGrid,|RT @CornellEng: So, what does an engineer look like? #ILookLikeAnEngineer https://t.co/0at0sVNZyF|,2013,Apr,False,9,False,0
#ILookLikeAnEngineer,tingshi2010,|RT @CornellEng: So, what does an engineer look like? #ILookLikeAnEngineer https://t.co/0at0sVNZyF|,2010,Oct,False,9,False,0
#ILookLikeAnEngineer,ftch_inc,|RT @CornellEng: So, what does an engineer look like? #ILookLikeAnEngineer https://t.co/0at0sVNZyF|,2011,Oct,False,9,False,0
#ILookLikeAnEngineer,ARienecker,|RT @CornellEng: So, what does an engineer look like? #ILookLikeAnEngineer https://t.co/0at0sVNZyF|,2010,Feb,False,9,False,0
#ILookLikeAnEngineer,mechanical_edu,|RT @CornellEng: So, what does an engineer look like? #ILookLikeAnEngineer https://t.co/0at0sVNZyF|,2013,Sep,False,9,False,0
#ILookLikeAnEngineer,ejvila,|RT @CornellEng: So, what does an engineer look like? #ILookLikeAnEngineer https://t.co/0at0sVNZyF|,2009,Jun,False,9,False,0
#ILookLikeAnEngineer,kirstywilkinson,|RT @CornellEng: So, what does an engineer look like? #ILookLikeAnEngineer https://t.co/0at0sVNZyF|,2009,Sep,False,9,False,0
#ILookLikeAnEngineer,CornellEng,|So, what does an engineer look like? #ILookLikeAnEngineer https://t.co/0at0sVNZyF|,2009,May,False,9,False,7
#ILookLikeAnEngineer,alexwilliams,@isisAnchalee  Whoops. Meant to ping you. We wrote about #ilooklikeanengineer last year. Free for an interview at #sxsw? cc @_closely,2007,Feb,False,0,False,1
#ILookLikeAnEngineer,alexwilliams,@_Closely Hi. I am with #thenewstack. We wrote about #ilooklikeanengineer last year. Are you free for an interview at #sxsw?,2007,Feb,False,0,False,0
#ILookLikeAnEngineer,DruryMelissa,RT @TeachtobeHappy: Mr. Day and Mr. Jones visit to teach about engineers and engineering. #ReynSTEM #ILookLikeAnEngineer #summitstem https:…,2015,May,False,2,False,0
#ILookLikeAnEngineer,isisAnchalee,|RT @DrKathyHughes: Engineering and Tech are #womenswork, right @isisAnchalee? Post your pic too! #iLookLikeAnEngineer #IWD2016 #WomenInSTEM|,2014,Dec,False,2,False,0
#ILookLikeAnEngineer,TMRQld,|What advice would Chief Engineer Julie Mitchell give her younger self? #ILookLikeAnEngineer #IWD2016 
https://t.co/rrKrLP0Lzn|,2011,Apr,False,1,False,7
#ILookLikeAnEngineer,CK1london,Rewriting the Code for Girls https://t.co/Y2iGFySwyl #IWD2016   #coding #programming #ILookLikeAnEngineer #InternationalWomensDay,2011,Jul,False,0,False,1
#ILookLikeAnEngineer,Dulcerengel,|RT @DrKathyHughes: Engineering and Tech are #womenswork, right @isisAnchalee? Post your pic too! #iLookLikeAnEngineer #IWD2016 #WomenInSTEM|,2010,May,False,2,False,0
#ILookLikeAnEngineer,DrKathyHughes,|Engineering and Tech are #womenswork, right @isisAnchalee? Post your pic too! #iLookLikeAnEngineer #IWD2016 #WomenInSTEM|,2012,Oct,False,2,False,5
#ILookLikeAnEngineer,mechanical_edu,|RT @DesignSquad: Teach girls bravery, not perfection @GirlsWhoCode #Ilooklikeanengineer #DSG https://t.co/KxL2vCA1yE|,2013,Sep,False,1,False,0
#ILookLikeAnEngineer,MsRosen3rd,|RT @MissBurnheimer: #ILookLikeAnEngineer have you heard of @Roominate? Design, build, and create your own house, plane, etc! #STEMmerday ht…|,2014,Aug,False,7,False,0
#ILookLikeAnEngineer,DesignSquad,|Teach girls bravery, not perfection @GirlsWhoCode #Ilooklikeanengineer #DSG https://t.co/KxL2vCA1yE|,2009,Dec,False,1,False,2
#ILookLikeAnEngineer,STEALTHEng,RT @isisAnchalee: AHHHH I just got my headshots back from Jennifer Graham photography and I lurve them. #ILookLikeAnEngineer #ghc15 http://…,2016,Mar,False,5,False,0
#ILookLikeAnEngineer,STEALTHEng,RT @isisAnchalee: The fact that it's seven months later and people are still tagging #ILookLikeAnEngineer makes my heart feel all warm.,2016,Mar,False,9,False,0
#ILookLikeAnEngineer,STEALTHEng,RT @MichelleEaster: That's a lot of future engineers! 🛠👯💡 #ILookLikeAnEngineer @isisAnchalee  https://t.co/Wd4NbuAV2O,2016,Mar,False,2,False,0
#ILookLikeAnEngineer,STEALTHEng,RT @InspirefestHQ: You've heard about the fab @isisAnchalee and her #ILookLikeAnEngineer movement. Now come hear her at #inspirefest https:…,2016,Mar,False,15,False,0
#ILookLikeAnEngineer,gracielarango,RT @scalevp: RT @SVbizjournal: 5 success stories to show girls power of engineering https://t.co/lf2j7g2og1  #ILookLikeAnEngineer https://t…,2013,Apr,False,5,False,0
#ILookLikeAnEngineer,Mike_K_Spencer,The Top 15 Cities for #womenintech in the USA. https://t.co/g0kWMDvWJf  #startup #entrepreneur #ILookLikeanEngineer https://t.co/ltGftPF5j1,2014,Nov,False,0,False,1
#ILookLikeAnEngineer,RonkeIgeBEM,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2009,Sep,False,86,False,0
#ILookLikeAnEngineer,cfheppner1,RT @TeachtobeHappy: Mr. Day and Mr. Jones visit to teach about engineers and engineering. #ReynSTEM #ILookLikeAnEngineer #summitstem https:…,2015,Sep,False,2,False,0
#ILookLikeAnEngineer,Mike_K_Spencer,|Women in Tech #Reloaded
#millennials #womenintech #siliconvalley #genderequity @LinkedInPulse  #ILookLikeAnEngineer https://t.co/AuhWR4rAsH|,2014,Nov,False,0,False,0
#ILookLikeAnEngineer,Roominate,|RT @MissBurnheimer: #ILookLikeAnEngineer have you heard of @Roominate? Design, build, and create your own house, plane, etc! #STEMmerday ht…|,2012,May,False,7,False,0
#ILookLikeAnEngineer,KathyMillsDisTA,|RT @WITWomen: From Silicon Valley to a basement startup, meet the women changing the face of #tech: https://t.co/WoZ87dFx5d #ILookLikeAnEng…|,2016,Jan,False,8,False,0
#ILookLikeAnEngineer,Mike_K_Spencer,State of #womenintech #WomensHistoryMonth #ILookLikeAnEngineer Coders &amp; Engineers in the US: https://t.co/UrQd0mIDmu,2014,Nov,False,0,False,0
#ILookLikeAnEngineer,MyrianHerlle,|RT @WITWomen: From Silicon Valley to a basement startup, meet the women changing the face of #tech: https://t.co/WoZ87dFx5d #ILookLikeAnEng…|,2015,Dec,False,8,False,0
#ILookLikeAnEngineer,TransformSTEM,|RT @WITWomen: From Silicon Valley to a basement startup, meet the women changing the face of #tech: https://t.co/WoZ87dFx5d #ILookLikeAnEng…|,2015,Dec,False,8,False,0
#ILookLikeAnEngineer,TheRalphEhlers,|RT @WITWomen: From Silicon Valley to a basement startup, meet the women changing the face of #tech: https://t.co/WoZ87dFx5d #ILookLikeAnEng…|,2014,Aug,False,8,False,0
#ILookLikeAnEngineer,marykkut,|RT @WITWomen: From Silicon Valley to a basement startup, meet the women changing the face of #tech: https://t.co/WoZ87dFx5d #ILookLikeAnEng…|,2012,Feb,False,8,False,0
#ILookLikeAnEngineer,SJ_Poblete,|RT @WITWomen: From Silicon Valley to a basement startup, meet the women changing the face of #tech: https://t.co/WoZ87dFx5d #ILookLikeAnEng…|,2010,Apr,False,8,False,0
#ILookLikeAnEngineer,HadarraIbiza,|RT @WITWomen: From Silicon Valley to a basement startup, meet the women changing the face of #tech: https://t.co/WoZ87dFx5d #ILookLikeAnEng…|,2012,Jul,False,8,False,0
#ILookLikeAnEngineer,WITWomen,|From Silicon Valley to a basement startup, meet the women changing the face of #tech: https://t.co/WoZ87dFx5d #ILookLikeAnEngineer @Forbes|,2009,Jun,False,8,False,12
#ILookLikeAnEngineer,revelynlife,@LifeOfAFoC yeah ^^ team #ILookLikeAnEngineer student too,2009,Oct,False,0,False,1
#ILookLikeAnEngineer,JuliaDryburgh,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2015,Mar,False,86,False,0
#ILookLikeAnEngineer,FutureFemaleL,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2015,Jul,False,86,False,0
#ILookLikeAnEngineer,LawSocSouthEast,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2015,Sep,False,86,False,0
