Keyword,Screen_Name,Text,Created_At_Year,Created_At_Month,Retweeted,Retweet_Count,Favorited,Favorite_Count
#ILookLikeAnEngineer,CarlosImarch,|RT @isisAnchalee: So much brains, strength and beauty in one photo ✨💜 #ILookLikeAnEngineer because #iamanengineerbitch https://t.co/Jh3ErYK…|,2010,Jan,False,15,False,0
#ILookLikeAnEngineer,Schnitzel,|RT @DaphneeLucenet: How many times have I heard "You don't look like an engineer!", there we go pals :) ! #ILookLikeAnEngineer http://t.co/…|,2008,Jan,False,16,False,0
#ILookLikeAnEngineer,GustikPiestany,RT @sanfranmag: Meet 8 women in tech who are soldiers of social change: https://t.co/KY2nnqRsGH #ILookLikeAnEngineer https://t.co/VGUTy1pyKd,2013,Sep,False,97,False,0
#ILookLikeAnEngineer,CarlosImarch,RT @cherlequin: For #InternationalWomensDay the lovely @PamelaHorton13 challenged us to share #MyVictory. #ILookLikeAnEngineer. ♥ https://t…,2010,Jan,False,12,False,0
#ILookLikeAnEngineer,themarketka,|RT @DaphneeLucenet: How many times have I heard "You don't look like an engineer!", there we go pals :) ! #ILookLikeAnEngineer http://t.co/…|,2009,Jun,False,16,False,0
#ILookLikeAnEngineer,themarketka,RT @cherlequin: For #InternationalWomensDay the lovely @PamelaHorton13 challenged us to share #MyVictory. #ILookLikeAnEngineer. ♥ https://t…,2009,Jun,False,12,False,0
#ILookLikeAnEngineer,m_korrie,|RT @isisAnchalee: So much brains, strength and beauty in one photo ✨💜 #ILookLikeAnEngineer because #iamanengineerbitch https://t.co/Jh3ErYK…|,2013,Nov,False,15,False,0
#ILookLikeAnEngineer,HarryBrown66,|RT @DaphneeLucenet: How many times have I heard "You don't look like an engineer!", there we go pals :) ! #ILookLikeAnEngineer http://t.co/…|,2013,May,False,16,False,0
#ILookLikeAnEngineer,CwtchyHobbes,|RT @DaphneeLucenet: How many times have I heard "You don't look like an engineer!", there we go pals :) ! #ILookLikeAnEngineer http://t.co/…|,2010,Nov,False,16,False,0
#ILookLikeAnEngineer,samuelhaitz,|RT @DaphneeLucenet: How many times have I heard "You don't look like an engineer!", there we go pals :) ! #ILookLikeAnEngineer http://t.co/…|,2010,Apr,False,16,False,0
#ILookLikeAnEngineer,c_caviglia,|RT @DaphneeLucenet: How many times have I heard "You don't look like an engineer!", there we go pals :) ! #ILookLikeAnEngineer http://t.co/…|,2010,Dec,False,16,False,0
#ILookLikeAnEngineer,stevenbeeckman,|RT @DaphneeLucenet: How many times have I heard "You don't look like an engineer!", there we go pals :) ! #ILookLikeAnEngineer http://t.co/…|,2009,Feb,False,16,False,0
#ILookLikeAnEngineer,LJohnson23,|RT @isisAnchalee: So much brains, strength and beauty in one photo ✨💜 #ILookLikeAnEngineer because #iamanengineerbitch https://t.co/Jh3ErYK…|,2012,Nov,False,15,False,0
#ILookLikeAnEngineer,isisAnchalee,RT @cherlequin: For #InternationalWomensDay the lovely @PamelaHorton13 challenged us to share #MyVictory. #ILookLikeAnEngineer. ♥ https://t…,2014,Dec,False,12,False,0
#ILookLikeAnEngineer,isisAnchalee,|RT @DaphneeLucenet: How many times have I heard "You don't look like an engineer!", there we go pals :) ! #ILookLikeAnEngineer http://t.co/…|,2014,Dec,False,16,False,0
#ILookLikeAnEngineer,NaufalAros,|RT @isisAnchalee: So much brains, strength and beauty in one photo ✨💜 #ILookLikeAnEngineer because #iamanengineerbitch https://t.co/Jh3ErYK…|,2013,Sep,False,15,False,0
#ILookLikeAnEngineer,Sarahmannn,|RT @RepresentPledge: Awesome initiative, #ElizabethOlsen and @EmilyVanCamp! #MissRepresentation #ILookLikeAnEngineer #STEM https://t.co/SKS…|,2011,Mar,False,5,False,0
#ILookLikeAnEngineer,KaitlynHova,|RT @isisAnchalee: So much brains, strength and beauty in one photo ✨💜 #ILookLikeAnEngineer because #iamanengineerbitch https://t.co/Jh3ErYK…|,2009,Mar,False,15,False,0
#ILookLikeAnEngineer,itmustbebreanna,|RT @isisAnchalee: So much brains, strength and beauty in one photo ✨💜 #ILookLikeAnEngineer because #iamanengineerbitch https://t.co/Jh3ErYK…|,2013,Feb,False,15,False,0
#ILookLikeAnEngineer,sicarii13,|RT @isisAnchalee: So much brains, strength and beauty in one photo ✨💜 #ILookLikeAnEngineer because #iamanengineerbitch https://t.co/Jh3ErYK…|,2009,May,False,15,False,0
#ILookLikeAnEngineer,isisAnchalee,|So much brains, strength and beauty in one photo ✨💜 #ILookLikeAnEngineer because #iamanengineerbitch https://t.co/Jh3ErYKEWm|,2014,Dec,False,15,False,40
#ILookLikeAnEngineer,peterhorgan1,RT @st_parkin: When is a compliment not a compliment?  How to approach a woman engineer in the real world. https://t.co/8vwMtTnEgC  #ILookL…,2014,Feb,False,4,False,0
#ILookLikeAnEngineer,peterhorgan1,RT @st_parkin: My blog for #InternationalwomensDay -- not 2 Pretty to be an Engineer https://t.co/8vwMtT62S2 #ILookLikeAnEngineer @WITWomen…,2014,Feb,False,2,False,0
#ILookLikeAnEngineer,patcong0303,RT @st_parkin: My blog for #InternationalwomensDay -- not 2 Pretty to be an Engineer https://t.co/8vwMtT62S2 #ILookLikeAnEngineer @WITWomen…,2014,Jun,False,2,False,0
#ILookLikeAnEngineer,patcong0303,RT @st_parkin: When is a compliment not a compliment?  How to approach a woman engineer in the real world. https://t.co/8vwMtTnEgC  #ILookL…,2014,Jun,False,4,False,0
#ILookLikeAnEngineer,UIowaEngr,RT @fuentek: Kudos to @UIowaEngr for celebrating female engineers! #ILookLikeAnEngineer https://t.co/bVNo5gjxvy,2010,Aug,False,1,False,0
#ILookLikeAnEngineer,DamianoMe,RT @iamjeffthornton: @isisAnchalee fantastic job on getting the word out for women in tech/engineering! I really love the #ILookLikeAnEngin…,2015,Apr,False,6,False,0
#ILookLikeAnEngineer,DamianoMe,RT @EricaJoy: Full house at the #ILookLikeAnEngineer event tonight. @isisAnchalee currently sharing her experiences. http://t.co/0H8NrhiaGN,2015,Apr,False,15,False,0
#ILookLikeAnEngineer,fuentek,Kudos to @UIowaEngr for celebrating female engineers! #ILookLikeAnEngineer https://t.co/bVNo5gjxvy,2009,Jun,False,1,False,2
#ILookLikeAnEngineer,GHGadgetGirl,The magic behind the magic. #bts #thatsgoodhousekeeping #ilooklikeanengineer https://t.co/o8DE88mJX0,2012,May,False,0,False,0
#ILookLikeAnEngineer,ActonFTW,|RT @RepresentPledge: Awesome initiative, #ElizabethOlsen and @EmilyVanCamp! #MissRepresentation #ILookLikeAnEngineer #STEM https://t.co/SKS…|,2011,Oct,False,5,False,0
#ILookLikeAnEngineer,Undow4life,|RT @RepresentPledge: Awesome initiative, #ElizabethOlsen and @EmilyVanCamp! #MissRepresentation #ILookLikeAnEngineer #STEM https://t.co/SKS…|,2014,Nov,False,5,False,0
#ILookLikeAnEngineer,RepresentPledge,|Awesome initiative, #ElizabethOlsen and @EmilyVanCamp! #MissRepresentation #ILookLikeAnEngineer #STEM https://t.co/SKSQWWJ7g4|,2010,Dec,False,5,False,10
#ILookLikeAnEngineer,bcofengineering,|Repping @SciChicNews 's APEX collection today!
#fashion #fashionista #3dprintedfashion #ilooklikeanengineer #jewelry https://t.co/wv3NjlIbcw|,2015,Mar,False,0,False,2
#ILookLikeAnEngineer,nottinbutaig,|Yep, that's me. 💁🏻⚒💪🏼✏️💋🖥 #ILookLikeAnEngineer #ImAnEngineerBitch #photoshoot #behindthescenes #WomenInSTEM #engine… https://t.co/DHcTcw1b9O|,2012,Jul,False,0,False,0
#ILookLikeAnEngineer,Mike_K_Spencer,|Women in Tech #Reloaded
#millennials #womenintech #siliconvalley #genderequity @LinkedInPulse  #ILookLikeAnEngineer https://t.co/nioanHwpGI|,2014,Nov,False,0,False,2
#ILookLikeAnEngineer,CreeCareers,Sun is shining bright at our HQ! Raleigh-Durham is home to some of the most talented engineers #ILookLikeAnEngineer https://t.co/DeXPkyH1ta,2010,Jun,False,0,False,0
#ILookLikeAnEngineer,CatCulkin,|Today, someone told me I look "too healthy to be in EECS." #thanks? #ilooklikeanengineer|,2010,Oct,False,0,False,5
#ILookLikeAnEngineer,KiraKira3D,|@3rdWaveFashion We love your site! Thank you so much!!! xoxo, Malena &amp; Suz #designlikeagirl #3dprinting #ilooklikeanengineer|,2015,Jul,False,0,False,1
#ILookLikeAnEngineer,familyfocusblog,RT @FortBoards: #internationalwomensday Thank orgs like @aauw for addressing #STEM ed discrepency #stemgirls #ilooklikeanengineer https://t…,2009,Nov,False,1,False,0
#ILookLikeAnEngineer,ProjYESacademy,#fbf That amazing moment our CEO @dr_t_sho graduated with her Engineering PhD from Duke! #ilooklikeanengineer #STEM https://t.co/ZX2abD58U1,2015,Jan,False,0,False,0
#ILookLikeAnEngineer,mattwallaert,RT @Mike_K_Spencer: The Top 15 Cities for #womenintech in the USA. https://t.co/HX3FlflkxU  #startup #entrepreneur #ILookLikeanEngineer htt…,2008,Jan,False,1,False,0
#ILookLikeAnEngineer,SebSab,RT @wearehive: Hacking our door bell #slack #hack #girlpower #girlthatcodes #ilooklikeanengineer #electronics #diy https://t.co/6gKfV5zHpt,2009,Apr,False,1,False,0
#ILookLikeAnEngineer,Yams,|RT @kholtzblatt: It's tough to get $ esp from white venture men if you're a woman, not a coder, &amp; pregnant too!  #ILookLikeAnEngineer https…|,2007,Mar,False,2,False,0
#ILookLikeAnEngineer,Yams,|RT @DaphneeLucenet: How many times have I heard "You don't look like an engineer!", there we go pals :) ! #ILookLikeAnEngineer http://t.co/…|,2007,Mar,False,16,False,0
#ILookLikeAnEngineer,phatryderekpan,|RT @DaphneeLucenet: How many times have I heard "You don't look like an engineer!", there we go pals :) ! #ILookLikeAnEngineer http://t.co/…|,2009,May,False,16,False,0
#ILookLikeAnEngineer,naiborhu_josua,RT @GoogleAppsDev: Behind the scenes with the Google Apps Script engineering team #ilooklikeanengineer http://t.co/B5UL6AZdFV,2013,Nov,False,39,False,0
#ILookLikeAnEngineer,Mike_K_Spencer,The Top 15 Cities for #womenintech in the USA. https://t.co/HX3FlflkxU  #startup #entrepreneur #ILookLikeanEngineer https://t.co/pyPuddeSoL,2014,Nov,False,1,False,3
#ILookLikeAnEngineer,nazzer,Mustn't forget #ilooklikeanengineer #LinkFest2016  https://t.co/vfTdHhMZwj,2008,May,False,0,False,1
#ILookLikeAnEngineer,nazzer,Mustn't forget #ilooklikeanengineer https://t.co/vfTdHhMZwj,2008,May,False,0,False,2
#ILookLikeAnEngineer,JCHayes,I feel like this should be my new LinkedIn photo. #ilooklikeanengineer #imanengineerbitch https://t.co/8FcvhPKaL6,2009,Mar,False,0,False,1
#ILookLikeAnEngineer,JCHayes,|I'm an engineer, bitch. #ilooklikeanengineer #commasmatter https://t.co/ehulAF5jSb|,2009,Mar,False,0,False,2
#ILookLikeAnEngineer,perthsnews,Perth:  Female Engineers Are Using The Hashtag #ILookLikeAnEngineer to Te... https://t.co/kYAJT6RCT3 via @perthsnews  #WA #australia #news,2014,Aug,False,0,False,0
#ILookLikeAnEngineer,Mike_K_Spencer,|Women in Tech #Reloaded
#millennials #womenintech #siliconvalley #genderequity @LinkedInPulse  #ILookLikeAnEngineer https://t.co/KTRR7qPhQu|,2014,Nov,False,0,False,2
#ILookLikeAnEngineer,KumarLuv,Badass engineers shut down sexist trolls with #ILookLikeAnEngineer https://t.co/pCnqRHDb9L,2009,Nov,False,0,False,0
#ILookLikeAnEngineer,ChristinaFo,|15 wonderful women working to change the face of tech
#ILookLikeAnEngineer https://t.co/wfR9CJXYgN|,2009,Jun,False,0,False,1
#ILookLikeAnEngineer,ALLIEV_11,RT @hplabs: Celebrating our very talented women researchers on #IWD2016. #womenintech #ILookLikeAnEngineer https://t.co/MvDZyhRQXn,2012,Feb,False,30,False,0
#ILookLikeAnEngineer,ashleyhowden,Thanks @JulieStevanja - it was a brilliant event #devops #ILookLikeAnEngineer  https://t.co/owpCkGp8Ms,2009,Oct,False,0,False,1
#ILookLikeAnEngineer,ValarieFoster14,RT @cmbrookins: We need more women in STEM fields! #ILookLikeAnEngineer #softwaredeveloper https://t.co/hqwI6Z3V3t https://t.co/kXrrNE7uFs,2016,Mar,False,12,False,0
